name,affiliation,role,gender,tags,sector,type,cvr_person,cvr_affiliation,description
Asger Ib Mardahl-Hansen,A/S DANSK ERHVERVSINVESTERING,Executive,Men,"Corporation, Finance",Corporations,Finance,4003993896,73314712,Automatisk CVR import at 2016-03-12 17:45:46: DIREKTION i A/S DANSK ERHVERVSINVESTERING (2007-01-01 - ).
Hans Ole Jensen,A/S DANSK ERHVERVSINVESTERING,Vice chairman,Men,"Corporation, Finance",Corporations,Finance,4004141577,73314712,Automatisk CVR import at 2016-03-12 17:45:46: naestformand i A/S DANSK ERHVERVSINVESTERING (1997-05-28 - ).
Lars Groenborg Eskesen,A/S DANSK ERHVERVSINVESTERING,Member,Men,"Corporation, Finance",Corporations,Finance,4003896224,73314712,Automatisk CVR import at 2016-03-12 17:45:46: BESTYRELSE i A/S DANSK ERHVERVSINVESTERING (1999-05-27 - ).
Michael Noergaard,A/S DANSK ERHVERVSINVESTERING,Member,Men,"Corporation, Finance",Corporations,Finance,4004121861,73314712,Automatisk CVR import at 2016-03-12 17:45:46: BESTYRELSE i A/S DANSK ERHVERVSINVESTERING (2007-05-23 - ).
Thorkild Engell Jensen,A/S DANSK ERHVERVSINVESTERING,Chairman,Men,"Corporation, Finance",Corporations,Finance,4004010529,73314712,Automatisk CVR import at 2016-03-12 17:45:46: formand i A/S DANSK ERHVERVSINVESTERING (2011-04-27 - ).
Gilles Jean-Noël Momper,ALD Automotive,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4006419783,87573613,Automatisk CVR import at 2016-03-12 17:46:07: BESTYRELSESMEDLEM i ALD Automotive (2016-01-08 - ).
Guillaume Joseph Emile de Leobardy,ALD Automotive,Chief executive,Men,"Corporation, FINA, Finance",Corporations,Finance,4004174889,87573613,Automatisk CVR import at 2016-03-12 17:46:06: adm. dir i ALD Automotive (2014-09-01 - ).
Michael John Masterson,ALD Automotive,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004256917,87573613,Automatisk CVR import at 2016-03-12 17:46:06: BESTYRELSE i ALD Automotive (2003-05-31 - ).
Tim Torben Albertsen,ALD Automotive,Chairman,Men,"Corporation, FINA, Finance",Corporations,Finance,4004038684,87573613,Automatisk CVR import at 2016-03-12 17:46:06: formand i ALD Automotive (2010-06-15 - ).
Asger Bank Moeller Christensen,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000077224,77333517,Automatisk CVR import at 2016-03-12 17:46:17: PERSONLIG_SUPPLEANT i Alm. Brand (2010-04-28 - ).
Boris Noergaard Kjeldsen,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000161650,77333517,Automatisk CVR import at 2017-09-29 11:27:18: Boris Noergaard Kjeldsen som bestyrelsesmedlem i CVR 77333517 (2016-04-29 - NA).
Brian Egested,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004048690,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSE i Alm. Brand (2014-04-30 - ).
CLAUS ELMQUIST-CLAUSEN,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000021285,77333517,Automatisk CVR import at 2016-03-12 17:46:17: PERSONLIG_SUPPLEANT i Alm. Brand (2014-04-30 - ).
Ebbe Castella,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4003911369,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSE i Alm. Brand (2013-04-25 - ).
Flemming Bruun Joergensen,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004023860,77333517,Automatisk CVR import at 2016-03-12 17:46:18: PERSONLIG_SUPPLEANT i Alm. Brand (2010-04-28 - ).
