person_name,affiliation,tech_subbranch
Dorthe Strange,AetherSystems,Artificial Intelligence
Ole Hassing,AetherSystems,Artificial Intelligence
Susanne Dohn,AetherSystems,Artificial Intelligence
Johnny Frandsen,AetherSystems,Artificial Intelligence
Josefine Brandt,BlueCircuit,Extended Reality Platforms (XR)
Storm Bertelsen,BlueCircuit,Extended Reality Platforms (XR)
Henrik Vistisen,BlueCircuit,Extended Reality Platforms (XR)
Patrick Hviid,BlueCircuit,Extended Reality Platforms (XR)
Poul Bjerre,BlueCircuit,Extended Reality Platforms (XR)
Clara Kristensen,ByteBridge,Cybersecurity
Elias Olsen,ByteBridge,Cybersecurity
Theo Würtz,ByteBridge,Cybersecurity
Tobias Bonde,ByteBridge,Cybersecurity
Alma Jørgensen,CloudAxis,Artificial Intelligence
Victor Madsen,CloudAxis,Artificial Intelligence
Emma Bach,CloudAxis,Artificial Intelligence
Julie Lind,CloudAxis,Artificial Intelligence
Arne Wulff,CloudAxis,Artificial Intelligence
Arne Wulff,CodePilot,Cloud Computing
Ida Johansen,CodePilot,Cloud Computing
Magnus Møller,CodePilot,Cloud Computing
Casper Vang,CodePilot,Cloud Computing
Mikkel Dahl,CodePilot,Cloud Computing
Mona Refshauge,CoreCascade,Cybersecurity
Niels Birk,CoreCascade,Cybersecurity
Lotte Staal,CoreCascade,Cybersecurity
Charlotte Vium,CoreCascade,Cybersecurity
Bo Skytte,CoreCascade,Cybersecurity
Freja Sørensen,DataNest,Artificial Intelligence
Oliver Rasmussen,DataNest,Artificial Intelligence
Felix Lund,DataNest,Artificial Intelligence
Frederik Kjær,DataNest,Artificial Intelligence
Noah Pedersen,DataNest,Artificial Intelligence
Tine Guld,DeltaCore,Quantum Edge Computing
Per Hald,DeltaCore,Quantum Edge Computing
Kent Blom,DeltaCore,Quantum Edge Computing
Hanne Berthelsen,DeltaCore,Quantum Edge Computing
Dorthe Strange,DeltaCore,Quantum Edge Computing
Ulla Eskildsen,FluxWare,Cybersecurity
Bent Nissen,FluxWare,Cybersecurity
Erik Vibe,FluxWare,Cybersecurity
Mona Refshauge,FluxWare,Cybersecurity
Charlotte Vium,FluxWare,Cybersecurity
Karla Knudsen,HyperLayer,Artificial Intelligence
Anton Schou,HyperLayer,Artificial Intelligence
Cecilie Kruse,HyperLayer,Artificial Intelligence
Line Gregersen,HyperLayer,Artificial Intelligence
Birgit Feldt,HyperLayer,Artificial Intelligence
Emma Bach,LogicLoop,Cloud Computing
August Winther,LogicLoop,Cloud Computing
Trine Basse,LogicLoop,Cloud Computing
Signe Meier,LogicLoop,Cloud Computing
Agnes Dam,NanoSoft,Cybersecurity
Felix Lund,NanoSoft,Cybersecurity
Daniel Lykke,NanoSoft,Cybersecurity
Casper Vang,NanoSoft,Cybersecurity
Jette Barsøe,NanoSoft,Cybersecurity
Anette Kaae,Neuronetix,Artificial Intelligence
Finn Lauridsen,Neuronetix,Artificial Intelligence
Ella Hansen,NovaForge,Cloud Computing
Noah Pedersen,NovaForge,Cloud Computing
Victor Madsen,NovaForge,Cloud Computing
Alexander Falk,NovaForge,Cloud Computing
Nora Holm,OmniLink,Cybersecurity
Benjamin Nørgaard,OmniLink,Cybersecurity
Stine Karlsen,OmniLink,Cybersecurity
Marie Aagaard,OmniLink,Cybersecurity
Signe Meier,PixelWave,Artificial Intelligence
Sofia Andersen,PixelWave,Artificial Intelligence
William Larsen,PixelWave,Artificial Intelligence
Ida Johansen,PixelWave,Artificial Intelligence
Mathilde Bruun,PixelWave,Artificial Intelligence
Pernille Buhl,PixelWave,Artificial Intelligence
Gitte Nygaard,PrismAI,Cloud Computing
Bjarne Fog,PrismAI,Cloud Computing
Vivi Kold,PrismAI,Cloud Computing
Lars Høgh,PrismAI,Cloud Computing
Ole Hassing,PrismAI,Cloud Computing
Victor Madsen,QuantumStack,Cybersecurity
William Larsen,QuantumStack,Cybersecurity
Ava Jensen,QuantumStack,Cybersecurity
Lucas Nielsen,QuantumStack,Cybersecurity
Sofia Andersen,QuantumStack,Cybersecurity
Sarah Rosenberg,QuantumStack,Cybersecurity
Marianne Zacho,QuantumStack,Cybersecurity
Frederik Kjær,SynapseWorks,Artificial Intelligence
Laura Thomsen,SynapseWorks,Artificial Intelligence
Malthe Poulsen,SynapseWorks,Artificial Intelligence
Julie Lind,SynapseWorks,Artificial Intelligence
Camilla Brix,SynapseWorks,Artificial Intelligence
Kim Hviid,SynapseWorks,Artificial Intelligence
Liva Henningsen,VectorHive,BioDigital Interfaces
Valdemar Friis,VectorHive,BioDigital Interfaces
Jeppe Seidel,VectorHive,BioDigital Interfaces
Rasmus Gade,VectorHive,BioDigital Interfaces
Leif Terkelsen,VectorHive,BioDigital Interfaces
